genus,myc
Aa,ORC
Aaronsohnia,AM
Abarema,AM
Abatia,AM
Abdra,NM
Abeliophyllum,AM
Abelmoschus,AM
Abies,EM
Abobra,AM
Abolboda,AMNM
Abroma,AM
Abronia,AMNM
Abrophyllum,AM
Abrotanella,AM
Abrus,AM
Abuta,AM
Abutilon,AM
Acacia,AMEM
Acaciella,AM
Acaena,AM
Acalypha,AM
Acampe,ORC
Acamptopappus,AM
Acantharia,AM
Acanthella,AM
Acanthinopsis,AM
Acanthocalycium,AM
Acanthocarpus,AM
Acanthocephalus,AM
Acanthocereus,AM
Acanthochlamys,AM
Acanthocladium,AMEM
Acanthocladus,AM
Acanthodesmos,AM
Acanthogilia,AM
Acantholepis,AM
Acantholimon,AMNM
Acantholippia,AM
Acanthomintha,AM
Acanthopale,AMNM
Acanthophippium,ORC
Acanthophoenix,AM
Acanthophyllum,NM
Acanthoprasium,AM
Acanthopsis,AMNM
Acanthorrhinum,AMNM
Acanthosalpingolobivia,AM
Acanthoscyphus,AMNM
Acanthosicyos,AM
Acanthospermum,AM
Acanthostachys,AMNM
Acanthostyles,AM
Acanthosyris,AMNM
Acanthothamnus,AM
Acanthus,AMNM
Acareosperma,AM
Acaulimalva,AM
Acca,AM
Accara,AM
Acer,AM
Aceratium,AM
Acharagma,AM
Acharia,AM
Achatocarpus,AMEM
Achetaria,AMNM
Achillea,AM
Achimenes,AM
Achlydosa,ORC
Achlyphila,AMNM
Achlys,AM
Achnatherum,AM
Achnophora,AM
Achnopogon,AM
Achuaria,AM
Achudemia,AMNM
Achyrachaena,AM
Achyranthes,AMNM
Achyrocalyx,AMNM
Achyrocline,AM
Achyronychia,AMNM
Achyropappus,AM
Achyropsis,AMNM
Achyrospermum,AM
Aciachne,AM
Acianthera,ORC
Acianthus,ORC
Acicarpha,AM
Acidocroton,AM
Acidonia,NM
Acidosasa,AM
Acidoton,AM
Acineta,ORC
Acinodendron,AM
Acioa,AM
Aciotis,AM
Aciphylla,AM
Acis,AM
Acisanthera,AM
Ackama,AM
Acleisanthes,AMNM
Acmadenia,AM
Acmanthera,AM
Acmella,AM
Acmena,AM
Acmispon,AM
Acmopyle,AM
Acnistus,AM
Acoelorrhaphe,AM
Acokanthera,AM
Acomastylis,AM
Acomis,AMEM
Aconitum,AM
Acorus,AMNM
Acosmium,AM
Acostia,AM
Acourtia,AM
Acrachne,AM
Acradenia,AM
Acranthera,AM
Acridocarpus,AM
Acriopsis,ORC
Acrisione,AM
Acritochaete,AM
Acritopappus,AM
Acrobotrys,AM
Acrocarpus,AM
Acroceras,AM
Acrocomia,AM
Acrodon,AMNM
Acroglochin,AMNM
Acrolophia,ORC
Acronema,AM
Acronychia,AM
Acropelta,AM
Acrophorus,AM
Acrophyllum,AM
Acropogon,AM
Acrorchis,ORC
Acrorumohra,AM
Acrosanthes,AMNM
Acrosorus,AM
Acrostichum,AM
Acrosynanthus,AM
Acrothamnus,EM
Acrotome,AM
Acrotrema,AM
Acrotriche,EM
Acrymia,AM
Actaea,AM
Actephila,NA
Actinanthella,NM
Actinanthus,AM
Actinidia,AM
Actiniopteris,AM
Actinobole,AM
Actinocarya,AMNM
Actinocephalus,AM
Actinocheita,AM
Actinocladum,AM
Actinodaphne,AM
Actinodium,AMEM
Actinokentia,AM
Actinolema,AM
Actinorhytis,AM
Actinoschoenus,AMNM
Actinoscirpus,AMNM
Actinostachys,AM
Actinostemma,AM
Actinostemon,AM
Actinostrobus,AM
Actinotus,AM
Acunaeanthus,AM
Acuston,NM
Acystopteris,AM
Adamantinia,ORC
Adansonia,AM
Adelaida,AMNM
Adelia,AM
Adelinia,AMNM
Adelobotrys,AM
Adelocaryum,AMNM
Adelonema,AMNM
Adelostigma,AM
Adelphacme,AM
Adelphia,AM
Adenandra,AM
Adenanthellum,AM
Adenanthera,AM
Adenanthos,NM
Adenarake,AMNM
Adenaria,AM
Adenia,AM
Adenium,AM
Adenoa,AM
Adenocalymma,AM
Adenocarpus,AM
Adenocaulon,AM
Adenochilus,ORC
Adenochlaena,AM
Adenocline,AM
Adenocritonia,AM
Adenodaphne,AM
Adenoderris,AM
Adenodolichos,AM
Adenoglossa,AM
Adenogramma,AMNM
Adenolobus,AM
Adenoncos,ORC
Adenoon,AM
Adenopeltis,AM
Adenophaedra,AM
Adenophora,AM
Adenophorus,AM
Adenophyllum,AM
Adenopodia,AM
Adenorandia,AM
Adenosciadium,AM
Adenosma,AMNM
Adenostemma,AM
Adenostoma,AMEM
Adenostyles,NA
Adenothamnus,AM
Adesmia,AM
Adhunia,AM
Adiantopsis,AM
Adiantum,AM
Adina,AM
Adinandra,AM
Adiscanthus,AM
Adlumia,AMNM
Adolphia,AM
Adonidia,AM
Adonis,AM
Adoxa,AMNM
Adriana,AM
Adromischus,AMNM
Adrorhizon,ORC
Aechmea,NM
Aedesia,AM
Aegialitis,AMNM
Aegiceras,AM
Aegilops,AM
Aegilotriticum,AM
Aeginetia,AMNM
Aegiphila,AM
Aegle,AM
Aeglopsis,AM
Aegokeras,AM
Aegonychon,AMNM
Aegopodium,AM
Aeluropus,AMNM
Aenhenrya,ORC
Aenictophyton,AMEM
Aenigmatanthera,AM
Aenigmopteris,AM
Aeollanthus,AM
Aeonium,AMNM
Aequatorium,AM
Aerangis,ORC
Aeranthes,ORC
Aerides,ORC
Aerva,AMNM
Aeschynanthus,AM
Aeschynomene,AM
Aesculus,AM
Aetanthus,NM
Aetheolaena,AM
Aetheolirion,AMNM
Aetheorhiza,AM
Aetheorhyncha,ORC
Aethionema,NM
Aethusa,AM
Aetoxylon,AM
Aextoxicon,AM
Afgekia,AM
Afraegle,AM
Aframmi,AM
Aframomum,AM
Afraurantium,AM
Afrobrunnichia,AMNM
Afrocalathea,AM
Afrocalliandra,AM
Afrocanthium,AM
Afrocarpus,AM
Afrofittonia,AMNM
Afroguatteria,AM
Afrohybanthus,AM
Afrolicania,AM
Afroligusticum,AM
Afropteris,AM
Afroqueta,AM
Afrosciadium,AM
Afroscirpoides,AMNM
Afrostyrax,AM
Afrothismia,AM
Afrotrewia,AM
Afrotrichloris,AM
Afrotrilepis,AMNM
Afrotysonia,AMNM
Afrovivella,AMNM
Afzelia,EM
Agalinis,AMNM
Agalmyla,AM
Aganisia,ORC
Aganonerion,AM
Aganope,AM
Aganosma,AM
Agapanthus,AM
Agapetes,EM
