work_ID,work_species,work_author,trait_value_3.3.1,trait_value_3.3.2,trait_value_3.6.1,trait_value_3.6.2,trait_value_3.6.3,agreement_3.3.1,agreement_3.3.2,agreement_3.6.1,agreement_3.6.2,agreement_3.6.3,n_3.3.1,n_3.3.2,n_3.6.1,n_3.6.2,n_3.6.3,references_3.3.1,references_3.3.2,references_3.6.1,references_3.6.2,references_3.6.3
7,Abarema jupunba,(Willd.) Britton & Killip,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
18,Abies alba,Mill.,anemochorous,anemochorous,abiotic,wind,wind,1,1,1,1,1,1,1,2,1,1,10255,10313,"1,031,310,315",10313,10315
19,Abies balsamea,(L.) Mill.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
20,Abies firma,Siebold & Zucc.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
21,Abies grandis,(Douglas ex D.Don) Lindl.,anemochorous,anemochorous,abiotic,wind,wind,1,1,1,1,1,2,1,2,2,1,"1,025,510,328",10328,"1,031,510,328","1,031,510,328",10315
23,Abies lasiocarpa,(Hook.) Nutt.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
25,Abies nordmanniana,(Steven) Spach,anemochorous,NA,abiotic,wind,wind,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10315,10315,10315
27,Abies procera,Rehder,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
28,Abies sachalinensis,(F.Schmidt) Mast.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
45,Abrotanella caespitosa,Petrie ex Kirk,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
51,Abrotanella linearis,Berggr.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
56,Abrotanella rosulata,Hook.f.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10322,NA,NA,NA,NA
58,Abrotanella spathulata,Hook.f.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10322,NA,NA,NA,NA
