"taxon_ID","trait_ID","trait_value","agreement","references","taxon_name","taxon_author","taxon_lvl","link_source"
81,"3.3.1","zoochorous",1,"10327","Amborellaceae","Pichon","family","APG_IV"
81,"3.3.2","endozoochorous",1,"10327","Amborellaceae","Pichon","family","APG_IV"
82,"3.6.1","abiotic",1,"10327","Hydatellaceae","U.Hamann","family","APG_IV"
84,"3.3.1","zoochorous",1,"10327","Nymphaeaceae","Salisb.","family","APG_IV"
84,"3.3.2","endozoochorous",1,"10327","Nymphaeaceae","Salisb.","family","APG_IV"
85,"3.3.1","zoochorous",1,"10327","Austrobaileyaceae","Croizat","family","APG_IV"
85,"3.3.2","endozoochorous",1,"10327","Austrobaileyaceae","Croizat","family","APG_IV"
85,"3.6.1","biotic",1,"10327","Austrobaileyaceae","Croizat","family","APG_IV"
86,"3.3.1","zoochorous",1,"10327","Trimeniaceae","Gibbs","family","APG_IV"
86,"3.3.2","endozoochorous",1,"10327","Trimeniaceae","Gibbs","family","APG_IV"
86,"3.6.1","abiotic",1,"10327","Trimeniaceae","Gibbs","family","APG_IV"
87,"3.6.1","biotic",1,"10327","Schisandraceae","Blume","family","APG_IV"
88,"3.3.1","zoochorous",1,"10327","Canellaceae","Mart.","family","APG_IV"
88,"3.3.2","endozoochorous",1,"10327","Canellaceae","Mart.","family","APG_IV"
89,"3.6.1","biotic",1,"10327","Winteraceae","R.Br. ex Lindl.","family","APG_IV"
90,"3.6.1","biotic",1,"10327","Saururaceae","Rich. ex T.Lestib.","family","APG_IV"
93,"3.6.1","biotic",1,"10327","Myristicaceae","R.Br.","family","APG_IV"
94,"3.6.1","biotic",1,"10327","Magnoliaceae","Juss.","family","APG_IV"
95,"3.6.1","biotic",1,"10327","Degeneriaceae","I.W.Bailey & A.C.Sm.","family","APG_IV"
96,"3.3.1","zoochorous",1,"10327","Himantandraceae","Diels","family","APG_IV"
96,"3.3.2","endozoochorous",1,"10327","Himantandraceae","Diels","family","APG_IV"
96,"3.6.1","biotic",1,"10327","Himantandraceae","Diels","family","APG_IV"
97,"3.3.1","zoochorous",1,"10327","Eupomatiaceae","Orb.","family","APG_IV"
97,"3.3.2","endozoochorous",1,"10327","Eupomatiaceae","Orb.","family","APG_IV"
97,"3.6.1","biotic",1,"10327","Eupomatiaceae","Orb.","family","APG_IV"
98,"3.6.1","biotic",1,"10327","Annonaceae","Juss.","family","APG_IV"
99,"3.6.1","biotic",1,"10327","Calycanthaceae","Lindl.","family","APG_IV"
100,"3.3.1","zoochorous",1,"10327","Siparunaceae","Schodde","family","APG_IV"
100,"3.3.2","endozoochorous",1,"10327","Siparunaceae","Schodde","family","APG_IV"
100,"3.6.1","biotic",1,"10327","Siparunaceae","Schodde","family","APG_IV"
101,"3.3.1","zoochorous",1,"10327","Gomortegaceae","Reiche","family","APG_IV"
101,"3.3.2","endozoochorous",1,"10327","Gomortegaceae","Reiche","family","APG_IV"
102,"3.3.1","anemochorous",1,"10327","Atherospermataceae","R.Br.","family","APG_IV"
102,"3.3.2","anemochorous",1,"10327","Atherospermataceae","R.Br.","family","APG_IV"
104,"3.3.1","zoochorous",1,"10327","Monimiaceae","Juss.","family","APG_IV"
104,"3.3.2","endozoochorous",1,"10327","Monimiaceae","Juss.","family","APG_IV"
106,"3.3.1","zoochorous",1,"10327","Chloranthaceae","R.Br. ex Sims","family","APG_IV"
106,"3.3.2","endozoochorous",1,"10327","Chloranthaceae","R.Br. ex Sims","family","APG_IV"
107,"3.3.2",NA,0.5,"10327","Acoraceae","Martinov","family","APG_IV"
111,"3.3.1","anemochorous",1,"10327","Butomaceae","Mirb.","family","APG_IV"
111,"3.3.2","anemochorous",1,"10327","Butomaceae","Mirb.","family","APG_IV"
111,"3.6.1","biotic",1,"10327","Butomaceae","Mirb.","family","APG_IV"
113,"3.6.1","abiotic",1,"10327","Scheuchzeriaceae","F.Rudolphi","family","APG_IV"
114,"3.3.1","zoochorous",1,"10327","Aponogetonaceae","Planch.","family","APG_IV"
114,"3.3.2","epizoochorous",1,"10327","Aponogetonaceae","Planch.","family","APG_IV"
114,"3.6.1","biotic",1,"10327","Aponogetonaceae","Planch.","family","APG_IV"
115,"3.6.1","abiotic",1,"10327","Juncaginaceae","Rich.","family","APG_IV"
117,"3.3.1","hydrochorous",1,"10327","Zosteraceae","Dumort.","family","APG_IV"
117,"3.3.2","hydrochorous",1,"10327","Zosteraceae","Dumort.","family","APG_IV"
117,"3.6.1","abiotic",1,"10327","Zosteraceae","Dumort.","family","APG_IV"
118,"3.3.1","hydrochorous",1,"10327","Potamogetonaceae","Bercht. & J.Presl","family","APG_IV"
118,"3.3.2","hydrochorous",1,"10327","Potamogetonaceae","Bercht. & J.Presl","family","APG_IV"
118,"3.6.1","abiotic",1,"10327","Potamogetonaceae","Bercht. & J.Presl","family","APG_IV"
119,"3.3.1","hydrochorous",1,"10327","Posidoniaceae","Vines","family","APG_IV"
119,"3.3.2","hydrochorous",1,"10327","Posidoniaceae","Vines","family","APG_IV"
119,"3.6.1","abiotic",1,"10327","Posidoniaceae","Vines","family","APG_IV"
120,"3.6.1","abiotic",1,"10327","Ruppiaceae","Horan.","family","APG_IV"
121,"3.6.1","abiotic",1,"10327","Cymodoceaceae","Vines","family","APG_IV"
123,"3.6.1","biotic",1,"10327","Nartheciaceae","Fr. ex Bjurzon","family","APG_IV"
124,"3.6.1","biotic",1,"10327","Burmanniaceae","Blume","family","APG_IV"
125,"3.6.1","biotic",1,"10327","Dioscoreaceae","R.Br.","family","APG_IV"
126,"3.6.1","biotic",1,"10327","Triuridaceae","Gardner","family","APG_IV"
127,"3.6.1","biotic",1,"10327","Velloziaceae","J.Agardh","family","APG_IV"
128,"3.6.1","biotic",1,"10327","Stemonaceae","Caruel","family","APG_IV"
129,"3.6.1","biotic",1,"10327","Cyclanthaceae","Poit. ex A.Rich.","family","APG_IV"
132,"3.3.1","anemochorous",1,"10327","Corsiaceae","Becc.","family","APG_IV"
132,"3.3.2","anemochorous",1,"10327","Corsiaceae","Becc.","family","APG_IV"
132,"3.6.1","biotic",1,"10327","Corsiaceae","Becc.","family","APG_IV"
133,"3.6.1","biotic",1,"10327","Melanthiaceae","Batsch ex Borkh.","family","APG_IV"
134,"3.3.1","zoochorous",1,"10327","Petermanniaceae","Hutch","family","APG_IV"
134,"3.3.2","endozoochorous",1,"10327","Petermanniaceae","Hutch","family","APG_IV"
134,"3.6.1","biotic",1,"10327","Petermanniaceae","Hutch","family","APG_IV"
135,"3.6.1","biotic",1,"10327","Alstroemeriaceae","Dumort.","family","APG_IV"
136,"3.6.1","biotic",1,"10327","Colchicaceae","DC.","family","APG_IV"
137,"3.3.1","zoochorous",1,"10327","Philesiaceae","Dumort.","family","APG_IV"
137,"3.3.2","endozoochorous",1,"10327","Philesiaceae","Dumort.","family","APG_IV"
137,"3.6.1","biotic",1,"10327","Philesiaceae","Dumort.","family","APG_IV"
138,"3.3.1","zoochorous",1,"10327","Ripogonaceae","Conran & Clifford","family","APG_IV"
138,"3.3.2","endozoochorous",1,"10327","Ripogonaceae","Conran & Clifford","family","APG_IV"
139,"3.3.1","zoochorous",1,"10327","Smilacaceae","Vent.","family","APG_IV"
139,"3.3.2","endozoochorous",1,"10327","Smilacaceae","Vent.","family","APG_IV"
139,"3.6.1","biotic",1,"10327","Smilacaceae","Vent.","family","APG_IV"
140,"3.6.1","biotic",1,"10327","Liliaceae","Juss.","family","APG_IV"
141,"3.6.1","biotic",1,"10327","Orchidaceae","Juss.","family","APG_IV"
142,"3.6.1","biotic",1,"10327","Boryaceae","M.W.Chase et al .","family","APG_IV"
143,"3.6.1","biotic",1,"10327","Blandfordiaceae","R.Dahlgren & Clifford","family","APG_IV"
144,"3.6.1","biotic",1,"10327","Asteliaceae","Dumort.","family","APG_IV"
145,"3.6.1","biotic",1,"10327","Lanariaceae","H.Huber ex R.Dahlgren","family","APG_IV"
146,"3.6.1","biotic",1,"10327","Hypoxidaceae","R.Br.","family","APG_IV"
